Week,Category,Sub_Category,Metric,Text_Value,Country,Month,Product,Support,Confidence,Lift,Leverage,Conviction,Revenue,Quantity,Num_Transactions,Segment,Num_Customers,Avg_Spend,Priority,Expected_Impact,Recommendation
Week 1 - EDA,Dataset Overview,Records,522064,,,,,,,,,,,,,,,,,,
Week 1 - EDA,Dataset Overview,Transactions,21663,,,,,,,,,,,,,,,,,,
Week 1 - EDA,Dataset Overview,Products,4185,,,,,,,,,,,,,,,,,,
Week 1 - EDA,Dataset Overview,Customers,4297,,,,,,,,,,,,,,,,,,
Week 1 - EDA,Dataset Overview,Countries,30,,,,,,,,,,,,,,,,,,
Week 1 - EDA,Dataset Overview,Date Range,,Dec 2010 â Dec 2011,,,,,,,,,,,,,,,,,
Week 1 - EDA,Missing Values,CustomerID Missing,134041,,,,,,,,,,,,,,,,,,
Week 1 - EDA,Missing Values,Itemname Missing,1455,,,,,,,,,,,,,,,,,,
Week 1 - EDA,Missing Values,Date Missing,1,,,,,,,,,,,,,,,,,,
Week 1 - EDA,Duplicates,Duplicate Rows,5284,,,,,,,,,,,,,,,,,,
Week 1 - EDA,Outliers,Quantity Min,-9600,,,,,,,,,,,,,,,,,,
Week 1 - EDA,Outliers,Quantity Max,80995,,,,,,,,,,,,,,,,,,
Week 1 - EDA,Outliers,Price Min,-11062,,,,,,,,,,,,,,,,,,
Week 1 - EDA,Outliers,Price Max,13541,,,,,,,,,,,,,,,,,,
Week 1 - EDA,Top Insights,Best Seller,,WHITE HANGING HEART T-LIGHT HOLDER,,,,,,,,,,,,,,,,,
Week 1 - EDA,Top Insights,Dominant Market,,United Kingdom (93.4%),,,,,,,,,,,,,,,,,
Week 1 - EDA,Top Insights,Peak Month,,November 2011,,,,,,,,,,,,,,,,,
Week 2 - Cleaning,Cleaning Step,Original Records,522064,,,,,,,,,,,,,,,,,,
Week 2 - Cleaning,Cleaning Step,After Remove Duplicates,516778,,,,,,,,,,,,,,,,,,
Week 2 - Cleaning,Cleaning Step,After Drop Missing,515322,,,,,,,,,,,,,,,,,,
Week 2 - Cleaning,Cleaning Step,After Remove Negatives,514269,,,,,,,,,,,,,,,,,,
Week 2 - Cleaning,Cleaning Step,Final Cleaned Records,514269,,,,,,,,,,,,,,,,,,
Week 2 - Cleaning,Transformation,Basket Transactions,19559,,,,,,,,,,,,,,,,,,
Week 2 - Cleaning,Transformation,CustomerID Fix,,Nulls filled as Guest,,,,,,,,,,,,,,,,,
